type,d1
Weak Democrat,1.51898689329497
Weak Democrat,1.59978309715743
Strong Democrat,2.58136229153623
Strong Democrat,1.70740910875742
Strong Democrat,2.35279224888567
Weak Democrat,2.22193356035557
Weak Democrat,2.24895621699191
Strong Democrat,1.88650737654646
Strong Democrat,1.70400051745307
Weak Democrat,0.890095509694645
Weak Democrat,2.26177405072915
Strong Democrat,1.03347289692327
Strong Democrat,1.71737046053789
Weak Democrat,1.24270378885925
Weak Democrat,1.72993878182753
Weak Democrat,1.20192799028823
Strong Democrat,1.6135885106274
Strong Democrat,2.7955694178743
Weak Democrat,1.73114954032567
Strong Democrat,1.60836170616097
Weak Democrat,2.0124390084986
Strong Democrat,2.24895621699191
Strong Democrat,2.98299530916778
Weak Democrat,3.01740066925718
Strong Democrat,1.75020288732334
Strong Democrat,1.97603663996096
Strong Democrat,2.30491579480523
Strong Democrat,2.15789797482064
Strong Democrat,2.24895621699191
Strong Democrat,2.20865223599426
Strong Democrat,2.50767097112375
Weak Democrat,1.73114954032567
Weak Democrat,1.60453712134446
Strong Democrat,1.97603663996096
Weak Democrat,2.76031384582859
Weak Democrat,1.77521184985853
Weak Democrat,1.72646865733228
Strong Democrat,1.93569954926826
Strong Democrat,1.97288435066254
Strong Democrat,2.05377351375618
Weak Democrat,2.69725789839959
Strong Democrat,1.52931492946393
Strong Democrat,1.93569954926826
Weak Democrat,1.03600811160026
Strong Democrat,2.38270477933449
Weak Democrat,1.58520186910596
Strong Democrat,0.57298888925827
Weak Democrat,1.05290473707117
Strong Democrat,2.35868082819704
Strong Democrat,2.46787052476492
Strong Democrat,1.95431011764758
Weak Democrat,0.835856321331173
Weak Democrat,1.44681508992352
Weak Democrat,1.9794247732985
Weak Democrat,0.262943945776928
Strong Democrat,2.57253923751322
Weak Democrat,2.50767097112375
Strong Democrat,2.31766099037118
Strong Democrat,2.40437919091384
Weak Democrat,2.31766099037118
Strong Democrat,1.88650737654646
Strong Democrat,2.20024708205693
Strong Democrat,2.18058664890355
Strong Democrat,2.63559518494221
Strong Democrat,2.42648356929815
Weak Democrat,1.16817670303219
Weak Democrat,1.40625598192446
Weak Democrat,3.17872226408736
Strong Democrat,2.15789797482064
Strong Democrat,1.8209970239988
Strong Democrat,2.70339792604333
Strong Democrat,2.15413081925445
Strong Democrat,2.7955694178743
Strong Democrat,2.77708924645581
Weak Democrat,1.89169694883694
Strong Democrat,3.68273498805378
Strong Democrat,1.97603663996096
Strong Democrat,2.76031384582859
Strong Democrat,2.50017488971063
Strong Democrat,2.77708924645581
Weak Democrat,2.5473304114422
